Lemma;Word
akmens;akmeņains
alkohols;alkoholisks
asinis;asiņains
barjera;barjerots
bedre;bedrains
cepure;cepurains
cepure;cepurots
cimds;cimdots
dubļi;dubļains
duļķes;duļķains
durklis;durkļots
dzeguļi;dzeguļots
ēna;ēnains
fraka;frakots
glejs;glejots
kalns;kalnains
kalns;kalnots
kante;kantains
kārta;kārtains
kauls;kaulains
klints;klinšains
klints;klinšots
kruzuļi;kruzuļains
kruzuļi;kruzuļots
ķiploks;ķiplokains
ķiploks;ķiplokots
lapa;lapains
lapa;lapots
ledus;ledains
lieta;lietisks
māls;mālains
māls;mālots
mežģīne;mežģīņains
mežģīne;mežģīņots
mežs;mežains
mežs;mežots
mīkla;mīklains
mundieris;mundierots
muskulis;muskuļains
muskulis;muskuļots
musturs;musturains
musturs;musturots
plankums;plankumains
poga;pogains
pora;porains
posms;posmains
posms;posmots
pūka;pūkains
puķe;puķains
puķe;puķots
punkts;punktains
punkts;punktots
purvs;purvains
radze;radžots
restes;restots
režģis;režģots
riba;ribots
sārms;sārmains
smiltis;smilšains
spalva;spalvains
spalva;spalvots
strīpa;strīpains
stūris;stūrains
svītra;svītrains
šķērslis;šķēršļots
šlipse;šlipsots
tauki;taukains
tauki;taukots
zābaks;zābakots
zvaigzne;zvaigžņains
