Lemma;Word
aicināt;aicināšana
aizliegt;aizliegšana
aizņemt;aizņemšana
aizņemties;aizņemšanās
aizsākt;aizsākšana
aizsargāt;aizsardzība
aizsargāt;aizsargāšana
apdrošināt;apdrošināšana
apgalvot;apgalvošana
apgūt;apgūšana
apgūt;apguve
apspriest;apspriešana
apsūdzēt;apsūdzēšana
apsveikt;apsveikšana
aptaujāt;aptauja
aptaujāt;aptaujāšana
ārstēt;ārstēšana
atbrīvot;atbrīvošana
atcerēties;atcere
atcerēties;atcerēšanās
atgādināt;atgādināšana
atjaunot;atjaunošana
atjaunot;atjaunotne
atklāt;atklāšana
atminēt;atminēšana
atminēties;atminēšanās
atpūsties;atpūta
attiecināt;attiecināšana
atvasināt;atvasināšana
atzīt;atzīšana
audzināt;audzināšana
balsot;balsošana
braukt;brauciens
braukt;braukšana
brīdināt;brīdināšana
ceļot;ceļošana
darīt;darīšana
dejot;dejošana
dirst;diršana
domāt;doma
domāt;domāšana
draudēt;draudēšana
dzemdēt;dzemdēšana
dzēst;dzēšana
dziedāt;dziedāšana
dzirdēt;dzirdēšana
dzīt;dzīšana
ēst;ēdiens
ēst;ēšana
filcēt;filcēšana
finansēt;finansēšana
flīzēt;flīzēšana
gleznot;gleznošana
grozīt;grozīšana
gudrot;gudrošana
gulēt;gulēšana
identificēt;identificēšana
iecerēt;iecerēšana
iegūt;iegūšana
iegūt;ieguve
ielūgt;ielūgšana
ierosināt;ierosināšana
iesniegt;iesniegšana
iestāties;iestāšanās
izglītot;izglītība
izglītot;izglītošana
izglītoties;izglītošanās
izmantot;izmantošana
izmeklēt;izmeklēšana
izpildīt;izpilde
izpildīt;izpildīšana
izskaidrot;izskaidrošana
izskaidroties;izskaidrošanās
izvietot;izvietošana
jautāt;jautāšana
kaitēt;kaitēšana
kliegt;kliedziens
kliegt;kliegšana
koklēt;koklēšana
kontrole;kontrolēt
krāpt;krāpšana
lemt;lemšana
lidot;lidojums
lidot;lidošana
lietot;lietošana
līgt;līgšana
lūgt;lūgšana
mācīt;mācīšana
mācīties;mācīšanās
maksāt;maksāšana
mazgāt;mazgāšana
mazgāties;mazgāšanās
mēģināt;mēģināšana
miglot;miglošana
mitrināt;mitrināšana
norādīt;norādīšana
noteikt;noteikšana
pakalpot;pakalpošana
pārdot;pārdošana
pārkāpt;pārkāpšana
pārvietot;pārvietošana
pārvietoties;pārvietošanās
pasniegt;pasniegšana
patērēt;patērēšana
paziņot;paziņošana
pētīt;pētīšana
piedalīties;piedalīšanās
pierādīt;pierādīšana
pieskatīt;pieskatīšana
pilnīgot;pilnīgošana
pirkt;pirkšana
plānot;plānošana
prātot;prātošana
rasēt;rasēšana
ražot;ražošana
rediģēt;rediģēšana
redzēt;redzēšana
riebt;riebība
riebt;riebšana
rīkot;rīkošana
rīkoties;rīkošanās
sadarboties;sadarbošanās
sagatavoties;sagatavošanās
sākt;sākšana
samazināt;samazināšana
sāpināt;sāpināšana
sasniegt;sasniegšana
sēdēt;sēdēšana
sēņot;sēņošana
skaidrot;skaidrošana
skatīt;skatiens
skatīt;skatīšana
skolot;skološana
skriet;skreja
skriet;skrējiens
skriet;skrējums
skriet;skriešana
slēpot;slēpošana
smēķēt;smēķēšana
sniegt;sniedziens
sniegt;sniegšana
sodīt;sodīšana
stopot;stopošana
strādāt;strādāšana
šūt;šūšana
teikt;teikšana
tērēt;tērēšana
tetovēt;tetovēšana
tirgot;tirgošana
tīrīt;tīrīšana
tulkot;tulkošana
turpināt;turpināšana
uzbrukt;uzbrukšana
uzbrukt;uzbrukums
uzlabot;uzlabošana
uzskatīt;uzskatīšana
uzsvērt;uzsvēršana
uzvarēt;uzvarēšana
veidot;veidošana
veikt;veikšana
vēlēt;vēlēšanas
vest;vešana
vilināt;vilināšana
vingrot;vingrošana
zaudēt;zaudēšana
zīdīt;zīdīšana
ziņot;ziņošana
zvanīt;zvanīšana
žāvāties;žāvāšanās
