Lemma;Word
aizsākt;aizsākšana
apvienoties;apvienošanās
atpūsties;atpūta
augšāmcelties;augšāmcelšanās
dzimt;dzimšana
dzīt;dzīšana
identificēt;identificēšanās
identificēties;identificēšanās
iegūt;iegūšana
ierosināt;ierosināšana
iestāties;iestāšanās
ilgt;ilgšana
inficēties;inficēšanās
kliegt;kliegšana
lidot;lidojums
lidot;lidošana
mantot;mantošana
mēģināt;mēģināšana
mirt;miršana
pārvietoties;pārvietošanās
pūt;pūšana
pūt;puvums
sākt;sākšana
samazināties;samazināšanās
skriet;skreja
skriet;skrējiens
skriet;skrējums
sniegt;sniegšana
uzlaboties;uzlabošanās
veidoties;veidošanās
vilināt;vilināšana
zaudēt;zaudēšana
