Lemma;Word
daba;dabīgs
daba;dabisks
daļa;daļējs
diena;dienišķs
ekonomija;ekonomisks
ekonomika;ekonomisks
fakts;faktisks
ģenētika;ģenētisks
ģeogrāfija;ģeogrāfisks
klasika;klasisks
kopa;kopējs
kopa;kopīgs
ķīmija;ķīmisks
laime;laimīgs
lieta;lietišķs
māksla;māksliniecisks
matemātika;matemātisks
pedagoģija;pedagoģisks
politika;politisks
prakse;praktisks
reliģija;reliģisks
rīts;rītišķs
sabiedrība;sabiedrisks
specifika;specifisks
spēks;spēcīgs
sports;sportisks
statistika;statistisks
stratēģija;stratēģisks
svars;svarīgs
tehnika;tehnisks
tehnoloģija;tehnoloģisks
vēsture;vēsturisks
zinātne;zinātnisks
