Lemma;Word
aizmirst;aizmirstība
atpūsties;atpūta
dominēt;dominēšana
draudēt;draudeklis
draudēt;draudi
gribēt;griba
gribēt;gribēšana
gulēt;gulēšana
gulēt;guļa
ilgoties;ilgošanās
interesēt;interese
izvietot;izvietojums
kontrolēt;kontrole
mācēt;mācēšana
mācēt;māka
pielūgt;pielūgšana
piemist;piemišana
prast;prašana
sāpēt;sāpēšana
saprast;saprašana
saslimt;saslimšana
sasniegt;sasniegšana
satikt;saticība
satikt;satikšana
sēdēt;sēdēšana
sekties;sekmes
slimot;slimošana
uztraukties;uztraukšanās
uztraukties;uztrauktība
uztraukties;uztraukums
uzturēties;uzturēšanās
vajadzēt;vajadze
vajadzēt;vajadzēšana
vajadzēt;vajadzība
varēt;varējums
veikties;veiksme
vēlēties;vēlēšanās
zaudēt;zaudēšana
