Darīt	Darbība	s#^(.*?)brīdināt$#\1brīdināšana#
Darīt	Darbība	s#^(.*?)aizsargāt$#\1aizsardzība#
Darīt	Darbība	s#^(.*?)uzvarēt$#\1uzvarēšana#
Darīt	Darbība	s#^(.*?)uzskatīt$#\1uzskatīt#
Darīt	Darbība	s#^(.*?)draudēt$#\1draudēšana#
Darīt	Darbība	s#^(.*?)ēt$#\1ēšana#
Darīt	Darbība	s#^(.*?)āt$#\1āšana#
Darīt	Darbība	s#^(.*?)gāt$#\1dzība#
Darīt	Rezultāts	s#^(.*?)skolot$#\1skolojums#
Darīt	Rezultāts	s#^(.*?)dziedāt$#\1dziesma#
Darīt	Rezultāts	s#^(.*?)ierosināt$#\1ierosme#
Darīt	Rezultāts	s#^(.*?)izpildīt$#\1izpildījums#
Darīt	Rezultāts	s#^(.*?)maksāt$#\1maksājums#
Darīt	Darītājs (dzīvs)	s#^(.*?)ārstēt$#\1ārsts#
Darīt	Darītājs (dzīvs)	s#^(.*?)skriet$#\1skrējējs#
Darīt	Darītājs (dzīvs)	s#^(.*?)aizliegt$#\1aizliedzējs#
Darīt	Darītājs (dzīvs)	s#^(.*?)maksāt$#\1maksātājs#
Darīt	Darītājs (dzīvs)	s#^(.*?)tulkot$#\1tulks#
Priekšmets	Ietver nosaukto	s#^(.*?)mīkla$#\1mīklains#
Priekšmets	Ietver nosaukto	s#^(.*?)poga$#\1pogains#
Priekšmets	Ietver nosaukto	s#^(.*?)ķiploks$#\1ķiplokots#
Priekšmets	Ietver nosaukto	s#^(.*?)mežģīne$#\1mežģīņots#
Priekšmets	Ietver nosaukto	s#^(.*?)zvaigzne$#\1zvaigžņots#
Priekšmets	Ietver nosaukto	s#^(.*?)a$#\1ains#
Priekšmets	Ietver nosaukto	s#^(.*?)e$#\1ots#
Priekšmets	Ietver nosaukto	s#^(.*?)s$#\1ots#
Būt procesā	Process	s#^(.*?)skriet$#\1skrējums#
Būt procesā	Process	s#^(.*?)sākt$#\1sākšana#
Būt procesā	Process	s#^(.*?)aizsākt$#\1aizsākšana#
Būt procesā	Process	s#^(.*?)iegūt$#\1iegūšana#
Būt procesā	Process	s#^(.*?)identificēt$#\1identificēšanās#
